epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35404,2.0126,3.88385,1.51351,0.02209,0.75,0.03685,0.03685,0.06988,3.25071,0.67016,0,0,0
2,1.81991,2.54941,3.50504,2.06407,0.02222,0.75,0.03698,0.03698,0.07295,3.25056,0.6707,1.63399e-05,1.63399e-05,1.63399e-05
3,2.24887,3.04731,3.25509,2.84891,0.02209,0.75,0.03768,0.03768,0.08046,3.2481,0.67092,3.20197e-05,3.20197e-05,3.20197e-05
4,2.67429,2.67887,3.44472,2.30213,0.02183,0.75,0.03597,0.03597,0.08267,3.24887,0.67098,4.70394e-05,4.70394e-05,4.70394e-05
5,3.08434,2.64158,3.3692,2.44339,0.02747,0.875,0.04254,0.04254,0.08846,3.24803,0.67153,6.13989e-05,6.13989e-05,6.13989e-05
6,3.57438,2.68484,3.32192,2.30279,0.02695,0.875,0.04063,0.04063,0.13928,3.24456,0.6785,7.50984e-05,7.50984e-05,7.50984e-05
7,4.31092,2.48155,3.38187,1.9285,0.02648,0.875,0.0417,0.03753,0.38712,3.24299,0.69872,8.81376e-05,8.81376e-05,8.81376e-05
8,4.95514,2.72408,3.50597,2.45441,0.03175,1,0.04949,0.04037,0.67741,3.24184,0.74435,0.000100517,0.000100517,0.000100517
9,5.49792,2.40868,3.2906,1.70211,0.03015,1,0.04549,0.03338,0.85516,3.32925,0.84009,0.000112236,0.000112236,0.000112236
10,6.09128,2.02953,3.19711,1.67946,0.03015,1,0.0455,0.02836,0.70646,3.67307,1.07167,0.000123295,0.000123295,0.000123295
11,6.67269,1.55697,3.17553,1.35517,0.02985,1,0.0455,0.02347,0.66171,3.82598,1.18894,0.000133693,0.000133693,0.000133693
12,7.29029,1.25549,2.92992,1.16196,0.02957,1,0.04629,0.01873,0.68654,3.88035,1.24133,0.000143432,0.000143432,0.000143432
13,7.8949,0.94276,2.68506,1.06241,0.03,1,0.04768,0.01631,0.75747,3.89712,1.2868,0.00015251,0.00015251,0.00015251
14,8.48132,1.26148,3.04803,1.32599,0.02905,1,0.04857,0.0135,0.73578,3.90081,1.28219,0.000160929,0.000160929,0.000160929
15,9.05806,1.26443,2.50646,1.26922,0.02882,1,0.05006,0.00969,0.72488,3.89657,1.28027,0.000168687,0.000168687,0.000168687
16,9.67441,1.09359,2.41458,1.20773,0.0277,1,0.05038,0.00771,0.72851,3.88611,1.27662,0.000175785,0.000175785,0.000175785
17,10.2038,1.04438,2.09449,1.06763,0.02743,1,0.04946,0.00826,0.73607,3.8638,1.26319,0.000182223,0.000182223,0.000182223
18,10.7464,1.15959,2.23243,1.24878,0.02743,1,0.04946,0.00826,0.73607,3.8638,1.26319,0.000188001,0.000188001,0.000188001
19,11.325,0.87138,2.08985,1.05412,0.02725,1,0.04824,0.00992,0.73918,3.82728,1.23723,0.000193119,0.000193119,0.000193119
20,11.9339,1.02786,2.08218,1.16061,0.02725,1,0.04824,0.00992,0.73918,3.82728,1.23723,0.000197576,0.000197576,0.000197576
21,12.5718,0.98313,1.83954,1.16206,0.02701,1,0.40272,0.08688,0.72531,3.79355,1.21136,0.000201374,0.000201374,0.000201374
22,13.0723,1.23019,1.69159,1.22409,0.02701,1,0.40272,0.08688,0.72531,3.79355,1.21136,0.000204511,0.000204511,0.000204511
23,13.3841,0.92866,1.82524,1.12247,0.02694,1,0.49564,0.1552,0.75401,3.73696,1.22247,0.000206988,0.000206988,0.000206988
24,13.6823,0.85274,2.06178,0.98727,0.02694,1,0.49564,0.1552,0.75401,3.73696,1.22247,0.000208805,0.000208805,0.000208805
25,13.9879,1.15772,2.21901,1.15551,0.02674,1,0.88667,0.28849,0.79402,3.69793,1.24476,0.000209962,0.000209962,0.000209962
26,14.2705,1.1689,2.16746,1.13482,0.02674,1,0.88667,0.28849,0.79402,3.69793,1.24476,0.000210459,0.000210459,0.000210459
27,14.5671,1.13364,1.59284,1.15935,0.02671,1,0.95333,0.25505,0.81049,3.68485,1.25762,0.000210295,0.000210295,0.000210295
28,14.8447,1.09352,1.82773,1.16585,0.02671,1,0.95333,0.25505,0.81049,3.68485,1.25762,0.000209472,0.000209472,0.000209472
29,15.2692,0.88388,1.85317,1.02321,0.02672,1,0.945,0.1892,0.82189,3.68526,1.28369,0.000207988,0.000207988,0.000207988
30,15.5669,0.82851,1.50769,0.97939,0.02672,1,0.945,0.1892,0.82189,3.68526,1.28369,0.000205844,0.000205844,0.000205844
31,15.8562,1.2704,1.89252,1.39307,0.0203,0.75,0.58538,0.11204,0.80816,3.68911,1.30636,0.000203041,0.000203041,0.000203041
32,16.1441,0.81867,1.38016,1.01813,0.0203,0.75,0.58538,0.11204,0.80816,3.68911,1.30636,0.000199577,0.000199577,0.000199577
33,16.4453,0.83898,1.46182,1.02953,0.02014,0.75,0.56042,0.09967,0.83993,3.69293,1.33661,0.000195452,0.000195452,0.000195452
34,16.7243,0.95087,1.57313,1.03646,0.02014,0.75,0.56042,0.09967,0.83993,3.69293,1.33661,0.000190668,0.000190668,0.000190668
35,17.0147,1.11106,1.36027,1.19288,0.02667,1,0.87,0.12438,0.82897,3.69485,1.34149,0.000185224,0.000185224,0.000185224
36,17.2861,1.06934,1.89074,1.25568,0.02667,1,0.87,0.12438,0.82897,3.69485,1.34149,0.000179119,0.000179119,0.000179119
37,17.5775,1.31603,1.47568,1.23043,0.02667,1,0.84976,0.15975,0.82864,3.68005,1.32616,0.000172354,0.000172354,0.000172354
38,17.8529,0.98551,1.75928,1.08381,0.02667,1,0.84976,0.15975,0.82864,3.68005,1.32616,0.00016493,0.00016493,0.00016493
39,18.1466,1.02942,1.58627,1.06356,0.02667,1,0.89143,0.22734,0.79297,3.66933,1.30567,0.000156845,0.000156845,0.000156845
40,18.4274,0.91135,1.70309,0.99726,0.02667,1,0.89143,0.22734,0.79297,3.66933,1.30567,0.0001481,0.0001481,0.0001481
41,22.5842,0.70368,1.4671,0.9385,0.02667,1,0.89143,0.25812,0.75498,3.65602,1.28538,0.000138694,0.000138694,0.000138694
42,22.9303,0.9112,1.28338,0.96961,0.02667,1,0.89143,0.25812,0.75498,3.65602,1.28538,0.000128629,0.000128629,0.000128629
43,23.3442,1.05931,1.35287,1.14196,0.02669,1,0.91018,0.27,0.74369,3.64653,1.28157,0.000117904,0.000117904,0.000117904
44,23.6462,0.70732,1.29814,0.92722,0.02669,1,0.91018,0.27,0.74369,3.64653,1.28157,0.000106518,0.000106518,0.000106518
45,23.9539,0.60126,1.12734,0.85689,0.02671,1,0.91018,0.27001,0.73867,3.64426,1.28485,9.44722e-05,9.44722e-05,9.44722e-05
46,24.2359,0.82663,1.2367,0.97717,0.02671,1,0.91018,0.27001,0.73867,3.64426,1.28485,8.17663e-05,8.17663e-05,8.17663e-05
47,24.5344,0.71596,1.31438,0.91761,0.02676,1,0.91018,0.29168,0.73593,3.63477,1.28952,6.84003e-05,6.84003e-05,6.84003e-05
48,24.918,1.09466,1.55945,1.05135,0.02676,1,0.91018,0.29168,0.73593,3.63477,1.28952,5.43742e-05,5.43742e-05,5.43742e-05
49,25.2143,0.80239,1.35934,0.93227,0.02681,1,0.94143,0.31247,0.73423,3.62715,1.29055,3.96879e-05,3.96879e-05,3.96879e-05
50,25.4973,0.71051,1.27817,0.87295,0.02681,1,0.94143,0.31247,0.73423,3.62715,1.29055,2.43415e-05,2.43415e-05,2.43415e-05
1,0.702767,2.74768,3.67466,2.42447,0.02236,0.75,0.03825,0.03825,0.06915,3.2507,0.67035,0,0,0
2,0.954724,2.5524,3.50399,2.06251,0.02222,0.75,0.03821,0.03821,0.07268,3.25039,0.67092,1.63399e-05,1.63399e-05,1.63399e-05
3,1.2126,2.94016,3.55666,2.56378,0.02209,0.75,0.0373,0.0373,0.0779,3.24835,0.67117,3.20197e-05,3.20197e-05,3.20197e-05
4,1.43459,2.4029,3.42377,1.96449,0.02196,0.75,0.03794,0.03794,0.0823,3.24779,0.67151,4.70394e-05,4.70394e-05,4.70394e-05
5,1.69196,2.39528,3.41307,2.09204,0.02116,0.75,0.03256,0.03256,0.12675,3.24433,0.67445,6.13989e-05,6.13989e-05,6.13989e-05
6,1.99586,2.38919,3.2754,2.09599,0.03195,1,0.04575,0.04457,0.29805,3.24253,0.68911,7.50984e-05,7.50984e-05,7.50984e-05
7,2.43472,2.45924,3.19926,2.15089,0.03081,1,0.04589,0.03471,0.5231,3.24261,0.716,8.81376e-05,8.81376e-05,8.81376e-05
8,2.73201,2.16491,3.2382,1.78955,0.03,1,0.04884,0.036,0.52016,3.24181,0.71584,0.000100517,0.000100517,0.000100517
9,3.04218,2.13358,3.52148,1.58791,0.02985,1,0.08013,0.05455,0.79347,3.23193,0.7729,0.000112236,0.000112236,0.000112236
